"Date.start","Days.after.feeding","Bacteria","CFU","Individual","Dead","Offspring","corr.Offspring","hours.pi","bud","cells.suspension"
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2A6",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2B1",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2B2",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2B4",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2B5",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2B6",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2C1",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2C2",0,0,0,0,1,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2C3",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2C4",0,0,0,0,1,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2C5",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2C6",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2D1",0,0,0,0,1,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2D2",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2D3",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2D4",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2D5",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-2D6",0,1,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3A1",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3A2",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3A3",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3A4",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3A5",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3A6",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3B1",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3B2",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3B3",0,0,0,0,0,0
