"Date.start","Days.after.feeding","Bacteria","CFU","Individual","Dead","Offspring","corr.Offspring","hours.pi","bud","cells.suspension"
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1A3",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1A4",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1A5",0,0,0,0,NA,1
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1A6",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1B1",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1B2",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1B3",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1B4",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1B5",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1B6",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1C1",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1C2",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1C3",0,0,0,0,NA,1
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1C4",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1C5",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1C6",0,0,0,0,NA,0
