Date.start;days.after.feeding;Bacteria;CFU;Well;Individual;Dead;Offspring;days.exposure;Notes
16/08/2023;2;Vcoralliilyticus;100000;A3;45154-1E+05-A3;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;A4;45154-1E+05-A4;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;A5;45154-1E+05-A5;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;A6;45154-1E+05-A6;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;B1;45154-1E+05-B1;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;B2;45154-1E+05-B2;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;B3;45154-1E+05-B3;0;1;3;
16/08/2023;2;Vcoralliilyticus;100000;B4;45154-1E+05-B4;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;B5;45154-1E+05-B5;1;0;3;
16/08/2023;2;Vcoralliilyticus;100000;B6;45154-1E+05-B6;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;C1;45154-1E+05-C1;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;C2;45154-1E+05-C2;0;1;3;
16/08/2023;2;Vcoralliilyticus;100000;C3;45154-1E+05-C3;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;C4;45154-1E+05-C4;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;C5;45154-1E+05-C5;1;0;3;
16/08/2023;2;Vcoralliilyticus;100000;C6;45154-1E+05-C6;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;D1;45154-1E+05-D1;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;D2;45154-1E+05-D2;0;1;3;
16/08/2023;2;Vcoralliilyticus;100000;D3;45154-1E+05-D3;1;0;3;
16/08/2023;2;Vcoralliilyticus;100000;D4;45154-1E+05-D4;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;D5;45154-1E+05-D5;0;0;3;
16/08/2023;2;Vcoralliilyticus;100000;D6;45154-1E+05-D6;0;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;A1;45154-1E+06-A1;0;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;A2;45154-1E+06-A2;0;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;A3;45154-1E+06-A3;0;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;A4;45154-1E+06-A4;1;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;A5;45154-1E+06-A5;0;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;A6;45154-1E+06-A6;1;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;B1;45154-1E+06-B1;0;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;B2;45154-1E+06-B2;0;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;B3;45154-1E+06-B3;0;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;B4;45154-1E+06-B4;0;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;B5;45154-1E+06-B5;1;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;B6;45154-1E+06-B6;1;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;C1;45154-1E+06-C1;1;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;C2;45154-1E+06-C2;0;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;C3;45154-1E+06-C3;0;0;3;
16/08/2023;2;Vcoralliilyticus;1000000;C4;45154-1E+06-C4;0;0;3;
