Date.start,days.after.feeding,Bacteria,CFU,Well,Individual,Dead,Offspring,hours.exposure,initial.bud,initial.damage,Notes
2025-04-12,2,Vcoralliilyticus,0,3C5,45759-0E+00-3C5,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,0,3C6,45759-0E+00-3C6,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,0,3D1,45759-0E+00-3D1,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,0,3D2,45759-0E+00-3D2,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,0,3D3,45759-0E+00-3D3,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,0,3D4,45759-0E+00-3D4,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,0,3D5,45759-0E+00-3D5,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,0,3D6,45759-0E+00-3D6,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1A1,45759-1E+06-1A1,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1A2,45759-1E+06-1A2,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1A3,45759-1E+06-1A3,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1A4,45759-1E+06-1A4,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1A5,45759-1E+06-1A5,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1A6,45759-1E+06-1A6,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1B1,45759-1E+06-1B1,0,0,0,1,0,
2025-04-12,2,Vcoralliilyticus,1000000,1B2,45759-1E+06-1B2,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1B3,45759-1E+06-1B3,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1B4,45759-1E+06-1B4,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1B5,45759-1E+06-1B5,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1B6,45759-1E+06-1B6,0,1,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1C1,45759-1E+06-1C1,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1C2,45759-1E+06-1C2,0,0,0,0,0,
